Species	ppl①	ppl②	ppl③	ppl④	ppl⑤	pss①	pss②	pss③	pss④	pss⑤	bbc①	bbc②	bbc③	bbc④	bbc⑤	sre①	sre②	sre③	sre④	sre⑤
PC33:0	9.59493E-05	8.70713E-05	0.000107967	0.000117235	0.000114731	0.000136753	0.000192007	0.000201067	0.000180734	0.000211849	0.000211554	0.000211439	0.000269336	0.000257547	0.000360657	0.000213154	0.000178018	0.000172447	0.000273708	0.000286349
PC34:4	0.001263975	0.0011077	0.000981187	0.001006931	0.001251062	0.000719863	0.001098289	0.001014732	0.000923457	0.00078765	0.000358914	0.000291892	0.000442747	0.000302577	0.000526121	0.000992507	0.000643722	0.001071279	0.001051328	0.001322388
PC34:3	0.035999585	0.036590597	0.029538281	0.041256551	0.038756886	0.021954755	0.027240779	0.029903539	0.024298476	0.023542683	0.017450342	0.013814877	0.020282823	0.011729529	0.02118009	0.027969007	0.017886494	0.030767602	0.030452966	0.036295416
PC34:2	0.086754129	0.080562239	0.071990768	0.101587741	0.088234401	0.081964325	0.081499281	0.075960713	0.087644869	0.085015173	0.066281928	0.06715815	0.084461469	0.060237349	0.108172008	0.09016964	0.063100282	0.100794284	0.105331394	0.131297919
PC34:1	0.034109113	0.032124113	0.026924451	0.043315398	0.032553337	0.029997713	0.028322727	0.027752118	0.032694503	0.030914713	0.029748052	0.033896858	0.042687968	0.026082907	0.047559024	0.039679807	0.026545039	0.041470713	0.043166422	0.056282518
PC34:0	0.002576579	0.00253086	0.002011359	0.003464556	0.002391814	0.002198625	0.002229263	0.001973601	0.002460833	0.002438387	0.002319869	0.002940147	0.00324401	0.002147524	0.003732102	0.003139915	0.002153899	0.003324762	0.00311235	0.003959122
PC35:3	0.000351401	0.000290135	0.000294641	0.00034282	0.000337517	0.000191712	0.000355886	0.000269689	0.000247839	0.000202005	0.000148882	0.000125025	0.000145262	9.34245E-05	0.000257009	0.000295747	0.000155306	0.000271955	0.00023483	0.00034297
PC35:2	0.000569875	0.000437925	0.000524124	0.000715032	0.000669133	0.000702293	0.000822389	0.000675814	0.000748014	0.000693119	0.000498165	0.000505303	0.000554716	0.000467718	0.000788601	0.000789616	0.000529163	0.000819541	0.000824701	0.001069634
PC35:1	0.000161917	0.000129955	0.000137579	0.000208443	0.000205547	0.000321938	0.00039113	0.000278748	0.000395738	0.000432982	0.000273717	0.000379641	0.000434464	0.000378113	0.000541766	0.000397425	0.000225657	0.000452217	0.000441429	0.000513425
PC36:4	0.005703879	0.007183398	0.004627785	0.006743091	0.006824226	0.00268029	0.003640013	0.003504142	0.003111202	0.00238023	0.001530553	0.001190892	0.001627355	0.00108079	0.001971501	0.00368221	0.002602047	0.003976406	0.003649228	0.004633548
PC36:3	0.024180116	0.02171121	0.0184372	0.029726312	0.024268723	0.017704856	0.020399894	0.020535567	0.020027483	0.016865103	0.008192775	0.0071296	0.009682941	0.006434214	0.014047494	0.023619887	0.014641307	0.025722593	0.024631105	0.031330253
PC36:2	0.014942723	0.012827013	0.010275158	0.020586541	0.013912548	0.015678119	0.014655974	0.012475063	0.016501377	0.015654308	0.011674614	0.012505216	0.014169999	0.011579407	0.019130114	0.016696915	0.011612677	0.01972034	0.018827949	0.023273246
PC36:1	0.001592818	0.001387537	0.001142775	0.002350183	0.001523702	0.001659387	0.001636018	0.001279344	0.001825617	0.001447488	0.001661729	0.001638713	0.002008802	0.001530019	0.002335903	0.001931862	0.001198766	0.002389069	0.002075515	0.002972546
